avatar_url	first_name	followers_count	full_name	id	kind	last_modified	last_name	permalink	permalink_url	uri	urn	username	verified	city	country_code	station_urn	station_permalink	badges.pro	badges.pro_unlimited	badges.verified
https://i1.sndcdn.com/avatars-000243996257-42d1lz-large.jpg	Ahmed	10	Ahmed Mado	245336179	user	2018-06-11T22:30:33Z	Mado	ahmed-mado-548664266	https://soundcloud.com/ahmed-mado-548664266	https://api.soundcloud.com/users/245336179	soundcloud:users:245336179	Ahmed Mado	False			soundcloud:system-playlists:artist-stations:245336179	artist-stations:245336179	False	False	False
https://i1.sndcdn.com/avatars-cHplaoMihvBhhKLN-FflBqQ-large.jpg	Record	2208	Record Label	284315623	user	2021-10-12T11:00:37Z	Label	waronsilence	https://soundcloud.com/waronsilence	https://api.soundcloud.com/users/284315623	soundcloud:users:284315623	WAR ON SILENCE	True	London		soundcloud:system-playlists:artist-stations:284315623	artist-stations:284315623	False	False	True
https://i1.sndcdn.com/avatars-000135671705-s0mdaz-large.jpg	Rasmus	1379	Rasmus Lange	33034091	user	2017-01-18T10:57:22Z	Lange	rasmus-lange-1	https://soundcloud.com/rasmus-lange-1	https://api.soundcloud.com/users/33034091	soundcloud:users:33034091	Rasmus Lange	False			soundcloud:system-playlists:artist-stations:33034091	artist-stations:33034091	False	False	False
https://i1.sndcdn.com/avatars-000386523047-bbred4-large.jpg	Thomas	530	Thomas Warin	48556308	user	2018-05-24T19:41:45Z	Warin	thomas-warin-kbab	https://soundcloud.com/thomas-warin-kbab	https://api.soundcloud.com/users/48556308	soundcloud:users:48556308	Kbab	False	Montpellier	FR	soundcloud:system-playlists:artist-stations:48556308	artist-stations:48556308	False	False	False
https://i1.sndcdn.com/avatars-000278624912-761yml-large.jpg	Kenzie	1047	Kenzie Jones	65074208	user	2020-08-31T16:56:13Z	Jones	kenzjones	https://soundcloud.com/kenzjones	https://api.soundcloud.com/users/65074208	soundcloud:users:65074208	kenzie jones	False	Santa Barbara, CA		soundcloud:system-playlists:artist-stations:65074208	artist-stations:65074208	False	False	False
https://i1.sndcdn.com/avatars-000298745367-otliuk-large.jpg	Awais	4	Awais Chaudhary	291892861	user	2017-02-27T22:18:04Z	Chaudhary	awais-chaudhary-736889689	https://soundcloud.com/awais-chaudhary-736889689	https://api.soundcloud.com/users/291892861	soundcloud:users:291892861	Awais Chaudhary	False			soundcloud:system-playlists:artist-stations:291892861	artist-stations:291892861	False	False	False
https://i1.sndcdn.com/avatars-rByIXziIff8TJTyX-pxSXkQ-large.jpg	Hasnaa	748	Hasnaa Tabra	40745908	user	2020-09-22T19:21:32Z	Tabra	hasnaa-tabra	https://soundcloud.com/hasnaa-tabra	https://api.soundcloud.com/users/40745908	soundcloud:users:40745908	Hasnaa Tabra	False	Baghdad	IQ	soundcloud:system-playlists:artist-stations:40745908	artist-stations:40745908	False	False	False
https://i1.sndcdn.com/avatars-000474187830-6w79xw-large.jpg		9698		352252208	user	2020-03-23T16:15:36Z		playback	https://soundcloud.com/playback	https://api.soundcloud.com/users/352252208	soundcloud:users:352252208	Playback	False			soundcloud:system-playlists:artist-stations:352252208	artist-stations:352252208	False	True	False
https://i1.sndcdn.com/avatars-000220006739-f73qdn-large.jpg	David	255	David Jo	146393127	user	2017-02-21T03:58:01Z	Jo	david-jo-18	https://soundcloud.com/david-jo-18	https://api.soundcloud.com/users/146393127	soundcloud:users:146393127	David Jo	False			soundcloud:system-playlists:artist-stations:146393127	artist-stations:146393127	False	False	False
https://i1.sndcdn.com/avatars-79tl1Dygk0kM6Yhn-Ra82Cg-large.jpg	Ben	40	Ben Vellani	100826362	user	2021-02-10T01:28:32Z	Vellani	ben-vellani	https://soundcloud.com/ben-vellani	https://api.soundcloud.com/users/100826362	soundcloud:users:100826362	Ben Vellani	False	Raleigh, NC		soundcloud:system-playlists:artist-stations:100826362	artist-stations:100826362	False	False	False
https://i1.sndcdn.com/avatars-000059885732-81vtop-large.jpg	Santa	456	Santa Claus	30747251	user	2013-11-12T05:50:41Z	Claus	christmas-for-families	https://soundcloud.com/christmas-for-families	https://api.soundcloud.com/users/30747251	soundcloud:users:30747251	Christmas For Families	False	North Pole	US	soundcloud:system-playlists:artist-stations:30747251	artist-stations:30747251	False	False	False
https://i1.sndcdn.com/avatars-000287967825-mwi80m-large.jpg	Daniel	689	Daniel Powers	1299673	user	2017-11-20T06:16:05Z	Powers	itzlager	https://soundcloud.com/itzlager	https://api.soundcloud.com/users/1299673	soundcloud:users:1299673	Lager	False	Towson	US	soundcloud:system-playlists:artist-stations:1299673	artist-stations:1299673	False	False	False
https://i1.sndcdn.com/avatars-000084514023-ai552k-large.jpg	Essam	27	Essam Shazly	95311056	user	2014-09-21T07:30:23Z	Shazly	essam-el-shazly-1	https://soundcloud.com/essam-el-shazly-1	https://api.soundcloud.com/users/95311056	soundcloud:users:95311056	Essam El Shazly 1	False			soundcloud:system-playlists:artist-stations:95311056	artist-stations:95311056	False	False	False
https://i1.sndcdn.com/avatars-aaddjMXIin73q3nM-PtJrhA-large.jpg	Tomy	87	Tomy Thomas	152887626	user	2020-07-24T07:59:59Z	Thomas	dhbvpplujsve	https://soundcloud.com/dhbvpplujsve	https://api.soundcloud.com/users/152887626	soundcloud:users:152887626	Tomy Thomas	False	New Delhi	IN	soundcloud:system-playlists:artist-stations:152887626	artist-stations:152887626	False	False	False
https://i1.sndcdn.com/avatars-000282386515-74rapi-large.jpg	Francis	84	Francis Clark	273587555	user	2016-12-08T06:42:57Z	Clark	francis-clark-158797033	https://soundcloud.com/francis-clark-158797033	https://api.soundcloud.com/users/273587555	soundcloud:users:273587555	Francis Clark	False			soundcloud:system-playlists:artist-stations:273587555	artist-stations:273587555	False	False	False
https://i1.sndcdn.com/avatars-000083885443-l4oiw0-large.jpg		30		94715771	user	2017-05-26T20:45:49Z		robyn-17-1	https://soundcloud.com/robyn-17-1	https://api.soundcloud.com/users/94715771	soundcloud:users:94715771	Robyn17	False			soundcloud:system-playlists:artist-stations:94715771	artist-stations:94715771	False	False	False
